"id";"cod";"descripcion"
"1";"1";"ACURA"
"2";"100";"WULING MOTORS"
"3";"1001";"CADILLAC"
"4";"1002";"CASE"
"5";"1003";"MUSTANG"
"6";"101";"SPACE"
"7";"102";"MASERATI"
"8";"103";"SANTANA"
"9";"105";"PLYMOUTH"
"10";"106";"MINI COOPER"
"11";"107";"ROLLS ROYCE"
"12";"108";"CHERY"
"13";"109";"LINCOLN"
"14";"11";"CITROEN"
"15";"110";"SMART"
"16";"111";"MACK"
"17";"112";"DFM"
"18";"113";"JMC"
"19";"114";"LIFAN"
"20";"115";"FOTON"
"21";"116";"GEELY"
"22";"117";"DS AUTOMOBILES"
"23";"118";"BAIC"
"24";"119";"DFSK"
"25";"12";"CHEVROLET"
"26";"120";"SHINERAY"
"27";"121";"GREAT WALL"
"28";"122";"HAVAL"
"29";"124";"CHANGAN"
"30";"125";"ZANELLA"
"31";"13";"CHRYSLER"
"32";"14";"DACIA"
"33";"15";"DAEWOO"
"34";"16";"DAIHATSU"
"35";"17";"FIAT"
"36";"18";"FORD"
"37";"19";"HONDA"
"38";"2";"ALEKO"
"39";"20";"HYUNDAI"
"40";"21";"AEOLUS"
"41";"22";"ISUZU"
"42";"23";"JAGUAR"
"43";"24";"KIA"
"44";"25";"LADA"
"45";"26";"MAZDA"
"46";"27";"MERCURY"
"47";"28";"MERCEDES BENZ"
"48";"29";"MITSUBISHI"
"49";"3";"ALFA ROMEO"
"50";"30";"NISSAN"
"51";"31";"OPEL"
"52";"32";"PEUGEOT"
"53";"33";"POLONEZ"
"54";"34";"PONTIAC"
"55";"35";"PORSCHE"
"56";"36";"RENAULT"
"57";"37";"ROVER-LAND ROV."
"58";"38";"SAAB"
"59";"39";"SEAT"
"60";"4";"ARO"
"61";"40";"SKODA"
"62";"41";"IVECO"
"63";"42";"SUBARU"
"64";"43";"SUZUKI"
"65";"44";"TAVRIA"
"66";"45";"TOYOTA"
"67";"46";"VOLKSWAGEN"
"68";"47";"VOLVO"
"69";"48";"PROTON"
"70";"49";"HUMMER"
"71";"5";"ASIA"
"72";"50";"SCANIA"
"73";"51";"FERRARI"
"74";"52";"HAM-JIANG"
"75";"53";"LANCIA"
"76";"54";"ENIAK"
"77";"55";"MAHINDRA"
"78";"56";"RASTROJERO"
"79";"57";"TATA"
"80";"58";"BLAC"
"81";"59";"IKA"
"82";"6";"AUDI"
"83";"60";"AUSTIN"
"84";"61";"BERTONE"
"85";"62";"METRO"
"86";"63";"AGRALE"
"87";"64";"GROSSPAL"
"88";"65";"RANQUEL"
"89";"66";"VOLKSWAGEN CAM."
"90";"67";"MAESTRO"
"91";"68";"JINBEI"
"92";"69";"F.E.R.E.S.A."
"93";"7";"AUTOBIANCHI"
"94";"70";"RENAULT CAMION"
"95";"71";"ASIA CAMION"
"96";"72";"CHEVROLET CAM."
"97";"73";"FORD CAMION"
"98";"74";"KIA CAMION"
"99";"75";"MERCEDES BENZ C"
"100";"76";"TATA CAMION"
"101";"77";"NAKAI (CHANGAN)"
"102";"78";"BELAVTOMAZ"
"103";"79";"G.A.Z."
"104";"8";"BMW"
"105";"80";"HINO"
"106";"8026";"DE CARLO"
"107";"81";"IZH"
"108";"82";"KAMAZ"
"109";"83";"KENWORTH"
"110";"839";"GAMMA"
"111";"84";"LIAZ"
"112";"847";"POLARIS"
"113";"85";"UAZ"
"114";"86";"YUEJIN"
"115";"87";"INTERNATIONAL"
"116";"88";"VOLVO CAMION"
"117";"89";"DIMEX"
"118";"90";"MAZDA CAMION"
"119";"91";"MITSUBISHI CAM."
"120";"910";"MONDIAL"
"121";"911";"YAMAHA"
"122";"92";"NISSAN CAMION"
"123";"922";"VENTO"
"124";"93";"DAIHATSU CAMION"
"125";"94";"PIAGGIO"
"126";"940";"GILERA"
"127";"946";"CAN AM"
"128";"95";"SANXING"
"129";"950";"KYMCO"
"130";"96";"STAR (3-STAR)"
"131";"97";"YANTAI"
"132";"98";"JAC"
"133";"99";"HEIBAO"
"134";"990";"ZANELLA"
